STATEFP,PLACEFP,PLACENS,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,STATE_NAME,LSAD,ALAND,AWATER,full_fips
01,34024,02404677,1600000US0134024,0134024,Helena,Helena city,AL,Alabama,25,57128218,824952,0134024
01,57576,02404451,1600000US0157576,0157576,Oxford,Oxford city,AL,Alabama,25,82420403,943609,0157576
01,26992,02403626,1600000US0126992,0126992,Foley,Foley city,AL,Alabama,25,84199106,374359,0126992
01,00988,02403074,1600000US0100988,0100988,Albertville,Albertville city,AL,Alabama,25,69770754,258708,0100988
01,62496,02404573,1600000US0162496,0162496,Prichard,Prichard city,AL,Alabama,25,65542049,527534,0162496
01,51696,02404329,1600000US0151696,0151696,Mountain Brook,Mountain Brook city,AL,Alabama,25,33203001,49564,0151696
01,25240,02403590,1600000US0125240,0125240,Fairhope,Fairhope city,AL,Alabama,25,37491325,144549,0125240
04,02430,02582729,1600000US0402430,0402430,Anthem,Anthem CDP,AZ,Arizona,57,20501893,9115,0402430
04,20540,02408687,1600000US0420540,0420540,Drexel Heights,Drexel Heights CDP,AZ,Arizona,57,49848704,0,0420540
04,49360,02408920,1600000US0449360,0449360,New River,New River CDP,AZ,Arizona,57,145319855,28824,0449360
04,49640,02411260,1600000US0449640,0449640,Nogales,Nogales city,AZ,Arizona,25,53923635,36580,0449640
04,60180,02629190,1600000US0460180,0460180,Rio Rico,Rio Rico CDP,AZ,Arizona,57,163391670,486173,0460180
05,12820,02404021,1600000US0512820,0512820,Centerton,Centerton city,AR,Arkansas,25,35332233,354219,0512820
05,44600,02405039,1600000US0544600,0544600,Maumelle,Maumelle city,AR,Arkansas,25,31276784,3217043,0544600
05,09460,02403945,1600000US0509460,0509460,Bryant,Bryant city,AR,Arkansas,25,53079415,226998,0509460
06,58296,02411462,1600000US0658296,0658296,Port Hueneme,Port Hueneme city,CA,California,25,11434772,646717,0658296
06,42468,02410859,1600000US0642468,0642468,Lomita,Lomita city,CA,California,25,4952726,0,0642468
06,17498,02410272,1600000US0617498,0617498,Cudahy,Cudahy city,CA,California,25,3046449,131179,0617498
06,49582,02628761,1600000US0649582,0649582,Mountain House,Mountain House CDP,CA,California,57,11804529,0,0649582
06,62826,02409208,1600000US0662826,0662826,Rosamond,Rosamond CDP,CA,California,57,134995228,551690,0662826
06,00394,02409666,1600000US0600394,0600394,Agoura Hills,Agoura Hills city,CA,California,25,20190547,55687,0600394
06,02924,02409738,1600000US0602924,0602924,Arvin,Arvin city,CA,California,25,12482061,0,0602924
06,54386,02411337,1600000US0654386,0654386,Oroville,Oroville city,CA,California,25,35830540,47848,0654386
06,14274,02409495,1600000US0614274,0614274,Coalinga,Coalinga city,CA,California,25,17734580,79727,0614274
06,84780,02409548,1600000US0684780,0684780,West Rancho Dominguez,West Rancho Dominguez CDP,CA,California,57,10291799,13545,0684780
06,71106,02411873,1600000US0671106,0671106,Shafter,Shafter city,CA,California,25,100221604,0,0671106
06,07064,02407863,1600000US0607064,0607064,Bloomington,Bloomington CDP,CA,California,57,15726088,0,0607064
06,11691,02407979,1600000US0611691,0611691,Casa de Oro-Mount Helix,Casa de Oro-Mount Helix CDP,CA,California,57,17743954,0,0611691
06,84774,02409564,1600000US0684774,0684774,West Puente Valley,West Puente Valley CDP,CA,California,57,4842002,2700,0684774
06,81638,02409392,1600000US0681638,0681638,Valinda,Valinda CDP,CA,California,57,5213065,0,0681638
06,74130,02583151,1600000US0674130,0674130,Stevenson Ranch,Stevenson Ranch CDP,CA,California,57,16607591,2399,0674130
06,36280,02410097,1600000US0636280,0636280,Imperial,Imperial city,CA,California,25,16292294,0,0636280
06,56112,02411383,1600000US0656112,0656112,Patterson,Patterson city,CA,California,25,20167365,222151,0656112
06,20903,02804115,1600000US0620903,0620903,East Niles,East Niles CDP,CA,California,57,14134961,0,0620903
06,04415,02407808,1600000US0604415,0604415,Bay Point,Bay Point CDP,CA,California,57,16643645,2637541,0604415
06,85992,02409614,1600000US0685992,0685992,Winter Gardens,Winter Gardens CDP,CA,California,57,11447561,1027,0685992
06,30693,02408318,1600000US0630693,0630693,Granite Bay,Granite Bay CDP,CA,California,57,55810220,111696,0630693
06,53714,02408986,1600000US0653714,0653714,Olivehurst,Olivehurst CDP,CA,California,57,21791564,0,0653714
06,78138,02629134,1600000US0678138,0678138,Temescal Valley,Temescal Valley CDP,CA,California,57,50094238,92242,0678138
06,58870,02409105,1600000US0658870,0658870,Prunedale,Prunedale CDP,CA,California,57,119299815,368885,0658870
06,62854,02409211,1600000US0662854,0662854,Rosedale,Rosedale CDP,CA,California,57,75813312,0,0662854
06,02980,02407773,1600000US0602980,0602980,Ashland,Ashland CDP,CA,California,57,4772238,0,0602980
06,46646,02583077,1600000US0646646,0646646,Mead Valley,Mead Valley CDP,CA,California,57,49415773,0,0646646
06,84144,02409546,1600000US0684144,0684144,West Carson,West Carson CDP,CA,California,57,5868541,33313,0684144
06,39766,02408562,1600000US0639766,0639766,Lakeside,Lakeside CDP,CA,California,57,17944759,894360,0639766
06,59550,02409137,1600000US0659550,0659550,Rancho San Diego,Rancho San Diego CDP,CA,California,57,22523642,0,0659550
06,52379,02408951,1600000US0652379,0652379,North Tustin,North Tustin CDP,CA,California,57,17044619,0,0652379
06,39114,02583048,1600000US0639114,0639114,Ladera Ranch,Ladera Ranch CDP,CA,California,57,12807936,0,0639114
06,21096,02408037,1600000US0621096,0621096,East San Gabriel,East San Gabriel CDP,CA,California,57,5641695,35252,0621096
06,87056,02413524,1600000US0687056,0687056,Yucca Valley,Yucca Valley town,CA,California,43,103161847,0,0687056
06,02476,02409723,1600000US0602476,0602476,Arcata,Arcata city,CA,California,25,24399923,5229392,0602476
06,19990,02410361,1600000US0619990,0619990,Duarte,Duarte city,CA,California,25,17376217,0,0619990
06,52694,02411291,1600000US0652694,0652694,Oakdale,Oakdale city,CA,California,25,16121384,100699,0652694
06,09598,02409955,1600000US0609598,0609598,Calabasas,Calabasas city,CA,California,25,35502601,90645,0609598
06,59346,02409128,1600000US0659346,0659346,Ramona,Ramona CDP,CA,California,57,99548576,49343,0659346
06,19402,02410343,1600000US0619402,0619402,Dixon,Dixon city,CA,California,25,18389794,249127,0619402
06,23462,02408113,1600000US0623462,0623462,Fallbrook,Fallbrook CDP,CA,California,57,45429891,47337,0623462
06,84592,02409575,1600000US0684592,0684592,Westmont,Westmont CDP,CA,California,57,4784057,0,0684592
06,62910,02409213,1600000US0662910,0662910,Rosemont,Rosemont CDP,CA,California,57,11361196,0,0662910
06,66140,02411785,1600000US0666140,0666140,San Fernando,San Fernando city,CA,California,25,6149607,0,0666140
06,41572,02408613,1600000US0641572,0641572,Linda,Linda CDP,CA,California,57,22236546,0,0641572
08,25280,02410467,1600000US0825280,0825280,Evans,Evans city,CO,Colorado,25,26440639,887419,0825280
08,15165,02407634,1600000US0815165,0815165,Clifton,Clifton CDP,CO,Colorado,57,15581872,189369,0815165
09,01150,02378267,1600000US0901150,0901150,Ansonia,Ansonia city,CT,Connecticut,25,15588608,435200,0901150
10,04130,02389183,1600000US1004130,1004130,Bear,Bear CDP,DE,Delaware,57,14981278,0,1004130
12,64975,02405442,1600000US1264975,1264975,Seminole,Seminole city,FL,Florida,25,13420512,1293610,1264975
12,57250,02403420,1600000US1257250,1257250,Pinewood,Pinewood CDP,FL,Florida,57,4539860,357377,1257250
12,27800,02403764,1600000US1227800,1227800,Groveland,Groveland city,FL,Florida,25,53983986,17131555,1227800
12,71225,02405571,1600000US1271225,1271225,Tavares,Tavares city,FL,Florida,25,32027024,4139727,1271225
12,69555,02405548,1600000US1269555,1269555,Sunny Isles Beach,Sunny Isles Beach city,FL,Florida,25,2617380,2076818,1269555
12,54387,02403391,1600000US1254387,1254387,Palm River-Clair Mel,Palm River-Clair Mel CDP,FL,Florida,57,29614143,653117,1254387
12,34400,02402627,1600000US1234400,1234400,Ives Estates,Ives Estates CDP,FL,Florida,57,6599907,552267,1234400
12,39950,02403227,1600000US1239950,1239950,Leisure City,Leisure City CDP,FL,Florida,57,8449113,172737,1239950
12,76487,02403006,1600000US1276487,1276487,West Little River,West Little River CDP,FL,Florida,57,11877888,191593,1276487
12,09415,02546911,1600000US1209415,1209415,Buenaventura Lakes,Buenaventura Lakes CDP,FL,Florida,57,14444011,196269,1209415
12,47050,02404318,1600000US1247050,1247050,Mount Dora,Mount Dora city,FL,Florida,25,21622529,2980369,1247050
12,03675,02403163,1600000US1203675,1203675,Bartow,Bartow city,FL,Florida,25,120231292,16475876,1203675
12,67575,02402874,1600000US1267575,1267575,South Miami Heights,South Miami Heights CDP,FL,Florida,57,12711122,195713,1267575
12,54725,02404469,1600000US1254725,1254725,Panama City Beach,Panama City Beach city,FL,Florida,25,50046314,522435,1254725
12,79225,02405076,1600000US1279225,1279225,Zephyrhills,Zephyrhills city,FL,Florida,25,24742892,140049,1279225
12,54525,02403392,1600000US1254525,1254525,Palm Valley,Palm Valley CDP,FL,Florida,57,31587112,3658388,1254525
12,66175,02402856,1600000US1266175,1266175,Silver Springs Shores,Silver Springs Shores CDP,FL,Florida,57,38678504,557890,1266175
12,32967,02402605,1600000US1232967,1232967,Hunters Creek,Hunters Creek CDP,FL,Florida,57,18248481,70869,1232967
12,71741,02402928,1600000US1271741,1271741,Three Lakes,Three Lakes CDP,FL,Florida,57,8357098,1732583,1271741
12,08300,02402713,1600000US1208300,1208300,Brent,Brent CDP,FL,Florida,57,26486757,427128,1208300
12,39775,02583359,1600000US1239775,1239775,Lealman,Lealman CDP,FL,Florida,57,10417868,167544,1239775
12,14412,02402796,1600000US1214412,1214412,Coral Terrace,Coral Terrace CDP,FL,Florida,57,8699850,187387,1214412
12,31075,02402594,1600000US1231075,1231075,Holiday,Holiday CDP,FL,Florida,57,13854085,904104,1231075
12,67258,02402868,1600000US1267258,1267258,South Bradenton,South Bradenton CDP,FL,Florida,57,11655066,233523,1267258
12,53725,02403384,1600000US1253725,1253725,Pace,Pace CDP,FL,Florida,57,62751977,745108,1253725
12,43300,02805178,1600000US1243300,1243300,Marion Oaks,Marion Oaks CDP,FL,Florida,57,76010774,472974,1243300
12,16675,02404199,1600000US1216675,1216675,DeBary,DeBary city,FL,Florida,25,49083938,7344177,1216675
12,16450,02404190,1600000US1216450,1216450,Davenport,Davenport city,FL,Florida,25,10529933,359264,1216450
12,38950,02404869,1600000US1238950,1238950,Lake Wales,Lake Wales city,FL,Florida,25,48807038,3297718,1238950
12,32610,02583355,1600000US1232610,1232610,Horizon West,Horizon West CDP,FL,Florida,57,84784263,13968863,1232610
12,12425,02402776,1600000US1212425,1212425,Citrus Park,Citrus Park CDP,FL,Florida,57,26325241,1696022,1212425
12,49260,02402549,1600000US1249260,1249260,Northdale,Northdale CDP,FL,Florida,57,20954178,1235134,1249260
12,33250,02402609,1600000US1233250,1233250,Immokalee,Immokalee CDP,FL,Florida,57,58846870,1477492,1233250
12,38350,02403199,1600000US1238350,1238350,Lake Magdalene,Lake Magdalene CDP,FL,Florida,57,26420787,3647797,1238350
12,62275,02403499,1600000US1262275,1262275,Ruskin,Ruskin CDP,FL,Florida,57,47113861,3476187,1262275
12,45465,02583363,1600000US1245465,1245465,Midway,Midway CDP,FL,Florida,57,31117219,59202599,1245465
12,50638,02403364,1600000US1250638,1250638,Oak Ridge,Oak Ridge CDP,FL,Florida,57,9191451,472924,1250638
12,58975,02403449,1600000US1258975,1258975,Princeton,Princeton CDP,FL,Florida,57,19210857,129494,1258975
12,60230,01853280,1600000US1260230,1260230,Richmond West,Richmond West CDP,FL,Florida,57,10804884,288591,1260230
12,23050,02402489,1600000US1223050,1223050,Florida Ridge,Florida Ridge CDP,FL,Florida,57,27894329,4699302,1223050
12,43800,02403272,1600000US1243800,1243800,Meadow Woods,Meadow Woods CDP,FL,Florida,57,28933797,748814,1243800
12,26100,02402529,1600000US1226100,1226100,Glenvar Heights,Glenvar Heights CDP,FL,Florida,57,10562191,511544,1226100
12,19212,02402431,1600000US1219212,1219212,East Lake-Orient Park,East Lake-Orient Park CDP,FL,Florida,57,40957965,2869223,1219212
12,22387,02402482,1600000US1222387,1222387,Fish Hawk,Fish Hawk CDP,FL,Florida,57,41997048,428504,1222387
12,20108,01853249,1600000US1220108,1220108,Egypt Lake-Leto,Egypt Lake-Leto CDP,FL,Florida,57,15301552,838644,1220108
12,76675,02403008,1600000US1276675,1276675,West Pensacola,West Pensacola CDP,FL,Florida,57,18574233,392098,1276675
12,35350,02402631,1600000US1235350,1235350,Jasmine Estates,Jasmine Estates CDP,FL,Florida,57,9403108,133488,1235350
12,20925,02402457,1600000US1220925,1220925,Ensley,Ensley CDP,FL,Florida,57,31649876,149571,1220925
12,22660,02583342,1600000US1222660,1222660,Fleming Island,Fleming Island CDP,FL,Florida,57,41020989,18869846,1222660
12,41825,02404981,1600000US1241825,1241825,Lynn Haven,Lynn Haven city,FL,Florida,25,27072014,193745,1241825
12,21350,02403580,1600000US1221350,1221350,Eustis,Eustis city,FL,Florida,25,28752772,4996535,1221350
12,50630,02583371,1600000US1250630,1250630,Oakleaf Plantation,Oakleaf Plantation CDP,FL,Florida,57,42537083,420870,1250630
12,71567,02402922,1600000US1271567,1271567,The Crossings,The Crossings CDP,FL,Florida,57,8903853,328645,1271567
12,06875,02402694,1600000US1206875,1206875,Bloomingdale,Bloomingdale CDP,FL,Florida,57,21067201,644249,1206875
12,48850,02583369,1600000US1248850,1248850,Nocatee,Nocatee CDP,FL,Florida,57,69433174,2504132,1248850
12,42575,02405000,1600000US1242575,1242575,Maitland,Maitland city,FL,Florida,25,13882185,2894630,1242575
12,01675,02402649,1600000US1201675,1201675,Apollo Beach,Apollo Beach CDP,FL,Florida,57,50968039,6766047,1201675
12,26375,02402532,1600000US1226375,1226375,Golden Glades,Golden Glades CDP,FL,Florida,57,12514838,496240,1226375
12,78800,02403044,1600000US1278800,1278800,Wright,Wright CDP,FL,Florida,57,14230332,224564,1278800
12,30025,02404690,1600000US1230025,1230025,Hialeah Gardens,Hialeah Gardens city,FL,Florida,25,8344775,1161077,1230025
12,26300,02402531,1600000US1226300,1226300,Golden Gate,Golden Gate CDP,FL,Florida,57,10112933,534727,1226300
12,78740,02583391,1600000US1278740,1278740,World Golf Village,World Golf Village CDP,FL,Florida,57,69984702,1088318,1278740
13,21324,02404179,1600000US1321324,1321324,Dallas,Dallas city,GA,Georgia,25,19116527,92553,1321324
13,13688,02404002,1600000US1313688,1313688,Cartersville,Cartersville city,GA,Georgia,25,74122058,317826,1313688
13,60340,02404504,1600000US1360340,1360340,Perry,Perry city,GA,Georgia,25,69867390,337064,1360340
13,35716,02403765,1600000US1335716,1335716,Grovetown,Grovetown city,GA,Georgia,25,13654314,33435,1335716
13,28968,02403603,1600000US1328968,1328968,Fayetteville,Fayetteville city,GA,Georgia,25,33575755,562341,1328968
13,30536,02403636,1600000US1330536,1330536,Forest Park,Forest Park city,GA,Georgia,25,24111918,156658,1330536
13,63952,02403465,1600000US1363952,1363952,Redan,Redan CDP,GA,Georgia,57,20949101,99137,1363952
13,12834,02402746,1600000US1312834,1312834,Candler-McAfee,Candler-McAfee CDP,GA,Georgia,57,18035427,41411,1312834
13,00408,02403059,1600000US1300408,1300408,Acworth,Acworth city,GA,Georgia,25,23543998,1811041,1300408
13,39524,02404716,1600000US1339524,1339524,Holly Springs,Holly Springs city,GA,Georgia,25,18621170,260589,1339524
13,12456,02403967,1600000US1312456,1312456,Calhoun,Calhoun city,GA,Georgia,25,41530025,193617,1312456
13,71604,02405480,1600000US1371604,1371604,Snellville,Snellville city,GA,Georgia,25,27119247,339919,1371604
13,16544,02404059,1600000US1316544,1316544,Clarkston,Clarkston city,GA,Georgia,25,4777884,36617,1316544
15,07470,02414015,1600000US1507470,1507470,Ewa Gentry,Ewa Gentry CDP,HI,Hawaii,57,5513935,0,1507470
