Table ID,Line,UniqueID,Variable_Family,Universe,Variable_Concept,Variable_Name,Variable_Type,Variable_Min,Variable_Max,Variable_Count_Blanks,Vasriable_Mean,Variable_Median,Measurement_of_error,MOE_Min,MOE_Max,"MOE_Count_Blanks
",MOE_Mean,MOE_Median,
Place,1,NAME,Predefined Variables,All,"Name of City/Municipality/Census Designated Place with population > 19,999",NAME,string,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
State,2,state,Predefined Variables,All,integer value for state,state,Integer,1,72,0,nan,nan,nan,nan,nan,nan,nan,nan,
Place,3,place,Predefined Variables,All,integer value for place,place,Integer,100,89140,0,nan,nan,nan,nan,nan,nan,nan,nan,
K200101,1,K200101_001,Population by Sex,Total Population,Total:,K200101_001E,string,19001,8335897,0,76214.72697,37847,K200101_001M,-555555555,16020,0,-9029839.989,52,
K200101,2,K200101_002,Population by Sex,Total Population,Male,K200101_002E,string,7829,4007356,0,37525.57149,18651,K200101_002M,172,10870,0,1995.867445,1801,
K200101,3,K200101_003,Population by Sex,Total Population,Female,K200101_003E,string,6539,4328541,0,38689.15548,19278,K200101_003M,172,10872,0,1995.146311,1794,
K200102,1,K200102_001,Population Under 18 Years by Age,Population under 18 years,Total:,K200102_001E,string,1342,1677428,41,16759.49746,8532,K200102_001M,-555555555,13914,41,-940400.8584,1807.5,
K200102,2,K200102_002,Population Under 18 Years by Age,Population under 18 years,In households:,K200102_002E,string,1136,1669312,41,16724.85581,8504.5,K200102_002M,2,13966,41,2018.006361,1807.5,
K200102,3,K200102_003,Population Under 18 Years by Age,Population under 18 years,Under 3 years,K200102_003E,string,0,270142,41,2562.687447,1287,K200102_003M,81,7769,41,787.8765903,671,
K200102,4,K200102_004,Population Under 18 Years by Age,Population under 18 years,3 to 5 years,K200102_004E,string,72,281642,41,2688.287956,1389.5,K200102_004M,117,8551,41,831.3095844,708,
K200102,5,K200102_005,Population Under 18 Years by Age,Population under 18 years,6 to 8 years,K200102_005E,string,36,269912,41,2761.820611,1453.5,K200102_005M,64,7884,41,840.9109415,711,
K200102,6,K200102_006,Population Under 18 Years by Age,Population under 18 years,9 to 11 years,K200102_006E,string,0,277623,41,2810.396522,1496.5,K200102_006M,118,8471,41,842.2247668,714,
K200102,7,K200102_007,Population Under 18 Years by Age,Population under 18 years,12 to 14 years,K200102_007E,string,0,298465,41,2981.274809,1573.5,K200102_007M,70,8602,41,871.14419,740,
K200102,8,K200102_008,Population Under 18 Years by Age,Population under 18 years,15 to 17 years,K200102_008E,string,96,271528,41,2920.388465,1569,K200102_008M,6,5310,41,765.4563189,680,
K200102,9,K200102_009,Population Under 18 Years by Age,Population under 18 years,In group quarters,K200102_009E,string,0,8116,41,34.64164546,0,K200102_009M,1,1325,41,137.8575064,201.5,
K200103,1,K200103_001,Median Age by Sex,Total Population,Total:,K200103_001E,string,15.3,74.6,0,38.16769487,37.9,K200103_001M,0.1,16.8,0,3.574155898,3.3,
K200103,2,K200103_002,Median Age by Sex,Total Population,Male,K200103_002E,string,15,75.3,0,37.07286369,36.7,K200103_002M,0.1,25.2,0,4.383993331,3.9,
K200103,3,K200103_003,Median Age by Sex,Total Population,Female,K200103_003E,string,16.1,74.3,0,39.29553981,39,K200103_003M,0.1,16.9,0,4.611504794,4.2,
K200104,1,K200104_001,Population by Age,Total Population,Total:,K200104_001E,string,19001,8335897,0,76214.72697,37847,K200104_001M,-555555555,16020,0,-9029839.989,52,
K200104,2,K200104_002,Population by Age,Total Population,Under 18 years,K200104_002E,string,173,1677428,0,16525.3243,8402,K200104_002M,-555555555,13914,0,-924301.8983,1805,
K200104,3,K200104_003,Population by Age,Total Population,18 to 24 years,K200104_003E,string,0,697456,0,7899.320133,3503,K200104_003M,98,9041,0,1331.910379,1165,
K200104,4,K200104_004,Population by Age,Total Population,25 to 34 years,K200104_004E,string,81,1377572,0,11603.94456,5123,K200104_004M,136,12739,0,1610.326386,1408,
K200104,5,K200104_005,Population by Age,Total Population,35 to 44 years,K200104_005E,string,272,1149323,0,10436.42184,5168,K200104_005M,246,9832,0,1492.547728,1318,
K200104,6,K200104_006,Population by Age,Total Population,45 to 54 years,K200104_006E,string,242,1020541,0,9097.952897,4609,K200104_006M,283,10506,0,1395.996665,1241,
K200104,7,K200104_007,Population by Age,Total Population,55 to 64 years,K200104_007E,string,0,1020739,0,8828.441851,4661,K200104_007M,-555555555,9294,0,-230225.98,1204,
K200104,8,K200104_008,Population by Age,Total Population,65 years and over,K200104_008E,string,0,1392838,0,11823.32138,6348,K200104_008M,-555555555,11099,0,-230065.0809,1352,
K200201,1,K200201_001,Race,Total Population,Total:,K200201_001E,string,19001,8335897,316,83720.10706,42642,K200201_001M,-555555555,16020,316,-9866662.195,47,
K200201,2,K200201_002,Race,Total Population,White alone,K200201_002E,string,332,2781859,316,41145.55545,23907,K200201_002M,298,20733,316,3236.084974,2867,
K200201,3,K200201_003,Race,Total Population,Black or African American alone,K200201_003E,string,0,1822642,316,12854.87806,3393,K200201_003M,2,20034,316,2052.75036,1638,
K200201,4,K200201_004,Race,Total Population,American Indian and Alaska Native alone,K200201_004E,string,0,70968,316,767.2986078,183,K200201_004M,2,9543,316,520.7258761,239,
K200201,5,K200201_005,Race,Total Population,Asian alone,K200201_005E,string,0,1238974,316,7095.488238,2001,K200201_005M,1,15655,316,1429.954393,1053,
K200201,6,K200201_006,Race,Total Population,Native Hawaiian and Other Pacific Islander alone,K200201_006E,string,0,28291,316,212.6519443,0,K200201_006M,2,3996,316,310.9587134,218,
K200201,7,K200201_007,Race,Total Population,Some Other Race alone,K200201_007E,string,0,1394819,316,8704.558809,2465,K200201_007M,2,29581,316,2098.867499,1536,
K200201,8,K200201_008,Race,Total Population,Two or More Races,K200201_008E,string,275,1021966,316,12939.67595,5283,K200201_008M,239,29294,316,2548.643783,2042,
