Variable,MOE
K200101_001E,K200101_001M
K200101_002E,K200101_002M
K200101_003E,K200101_003M
K200102_001E,K200102_001M
K200102_002E,K200102_002M
K200102_003E,K200102_003M
K200102_004E,K200102_004M
K200102_005E,K200102_005M
K200102_006E,K200102_006M
K200102_007E,K200102_007M
K200102_008E,K200102_008M
K200102_009E,K200102_009M
K200103_001E,K200103_001M
K200103_002E,K200103_002M
K200103_003E,K200103_003M
K200104_001E,K200104_001M
K200104_002E,K200104_002M
K200104_003E,K200104_003M
K200104_004E,K200104_004M
K200104_005E,K200104_005M
K200104_006E,K200104_006M
K200104_007E,K200104_007M
K200104_008E,K200104_008M
K200201_001E,K200201_001M
K200201_002E,K200201_002M
K200201_003E,K200201_003M
K200201_004E,K200201_004M
K200201_005E,K200201_005M
K200201_006E,K200201_006M
K200201_007E,K200201_007M
K200201_008E,K200201_008M
K200301_001E,K200301_001M
K200301_002E,K200301_002M
K200301_003E,K200301_003M
K200501_001E,K200501_001M
K200501_002E,K200501_002M
K200501_003E,K200501_003M
K200503_001E,K200503_001M
K200503_002E,K200503_002M
K200503_003E,K200503_003M
K200503_004E,K200503_004M
K200503_005E,K200503_005M
K200503_006E,K200503_006M
K200701_001E,K200701_001M
K200701_002E,K200701_002M
K200701_003E,K200701_003M
K200701_004E,K200701_004M
K200701_005E,K200701_005M
K200701_006E,K200701_006M
K200801_001E,K200801_001M
K200801_002E,K200801_002M
K200801_003E,K200801_003M
K200801_004E,K200801_004M
K200801_005E,K200801_005M
K200801_006E,K200801_006M
K200802_001E,K200802_001M
K200802_002E,K200802_002M
K200802_003E,K200802_003M
K200802_004E,K200802_004M
K200802_005E,K200802_005M
K200901_001E,K200901_001M
K200901_002E,K200901_002M
K200901_003E,K200901_003M
K200901_004E,K200901_004M
K200901_005E,K200901_005M
K200901_006E,K200901_006M
K200901_007E,K200901_007M
K200901_008E,K200901_008M
K200901_009E,K200901_009M
K201001_001E,K201001_001M
K201001_002E,K201001_002M
K201001_003E,K201001_003M
K201001_004E,K201001_004M
K201001_005E,K201001_005M
K201001_006E,K201001_006M
K201101_001E,K201101_001M
K201101_002E,K201101_002M
K201101_003E,K201101_003M
K201101_004E,K201101_004M
K201101_005E,K201101_005M
K201102_001E,K201102_001M
K201102_002E,K201102_002M
K201102_003E,K201102_003M
K201102_004E,K201102_004M
K201102_005E,K201102_005M
K201102_006E,K201102_006M
K201102_007E,K201102_007M
